21,CANOLA,1520,CUERPOS EXTRAÑOS
21,CANOLA,4112,MATERIA GRASA (s.s.s.)
21,CANOLA,4131,ACIDEZ DE LA  MATERIA GRASA
21,CANOLA,4272,ACIDO ERUCICO
21,CANOLA,4510,GLUCOSINOLATOS
21,CANOLA,3020,HUMEDAD
25,CÁRTAMO,1112,MATERIAS EXTRAÑAS
25,CÁRTAMO,2062,CHAMICO(semillas cada 100 gr.)
25,CÁRTAMO,4112,MATERIA GRASA (s.s.s.)
25,CÁRTAMO,4131,ACIDEZ DE LA  MATERIA GRASA
25,CÁRTAMO,3020,HUMEDAD
